                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    146,                0.84197,                0.56191,                 1.0806,                0.92168,                0.96403,                0.97199,                0.76363,                0.81839,                0.36306,                  1.217,               0.005215,               0.005215,               0.005215
                    147,                0.84379,                0.56035,                 1.0741,                0.93343,                0.95459,                0.97372,                0.76932,                0.81515,                 0.3608,                 1.2141,               0.005182,               0.005182,               0.005182
                    148,                0.84605,                0.56264,                 1.0811,                0.93946,                0.95374,                0.97305,                0.76673,                0.81328,                0.36026,                  1.211,               0.005149,               0.005149,               0.005149
                    149,                0.84259,                0.56352,                  1.077,                  0.938,                0.95618,                0.97367,                0.76678,                 0.8141,                0.35893,                 1.2126,               0.005116,               0.005116,               0.005116
                    150,                0.84698,                 0.5613,                 1.0787,                0.92406,                0.96234,                0.97275,                0.76664,                0.81429,                0.35977,                 1.2116,               0.005083,               0.005083,               0.005083
                    151,                0.84049,                0.55787,                 1.0819,                0.91568,                0.96501,                0.97334,                0.76561,                0.81688,                0.36128,                 1.2143,                0.00505,                0.00505,                0.00505
                    152,                0.83963,                0.55476,                 1.0696,                0.92673,                0.96287,                0.97312,                0.76437,                0.81978,                0.35939,                 1.2177,               0.005017,               0.005017,               0.005017
                    153,                0.83816,                0.55899,                 1.0737,                0.92582,                0.96102,                0.97252,                0.76641,                0.81587,                0.35996,                 1.2148,               0.004984,               0.004984,               0.004984
                    154,                0.84051,                0.55554,                 1.0785,                0.92962,                0.96459,                0.97436,                0.76981,                0.81777,                0.35882,                 1.2155,               0.004951,               0.004951,               0.004951
                    155,                0.84175,                0.56265,                 1.0711,                0.92697,                0.96499,                0.97306,                0.76581,                0.81664,                0.36065,                 1.2146,               0.004918,               0.004918,               0.004918
                    156,                0.82839,                0.55169,                 1.0681,                0.93149,                0.95636,                0.97423,                 0.7677,                0.81594,                0.36106,                 1.2136,               0.004885,               0.004885,               0.004885
                    157,                 0.8317,                0.55313,                   1.07,                0.93747,                0.95304,                0.97267,                0.76464,                 0.8153,                0.36001,                 1.2144,               0.004852,               0.004852,               0.004852
                    158,                0.83115,                0.55175,                 1.0772,                0.93246,                0.95684,                0.97271,                  0.766,                0.81284,                 0.3585,                 1.2126,               0.004819,               0.004819,               0.004819
                    159,                0.82829,                0.55136,                 1.0696,                0.93073,                0.95381,                0.97244,                0.76666,                0.81436,                0.35811,                 1.2124,               0.004786,               0.004786,               0.004786
