                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 0.9499,                0.66815,                 1.1431,                0.91183,                0.93683,                0.95733,                0.72955,                0.90282,                0.42488,                 1.2957,               0.008218,               0.008218,               0.008218
                     56,                0.94482,                0.66399,                  1.141,                0.92423,                 0.9469,                0.96812,                0.73692,                0.88783,                0.40768,                 1.2741,               0.008185,               0.008185,               0.008185
                     57,                0.95049,                0.66593,                 1.1487,                0.91214,                0.95583,                0.96564,                0.72774,                0.89783,                0.42236,                  1.289,               0.008152,               0.008152,               0.008152
                     58,                  0.946,                0.65952,                 1.1399,                0.91512,                0.94494,                0.96548,                0.73562,                0.90132,                0.41822,                 1.2874,               0.008119,               0.008119,               0.008119
                     59,                0.93924,                0.65233,                 1.1335,                0.91859,                0.95247,                0.96642,                0.73994,                0.87674,                 0.4062,                 1.2677,               0.008086,               0.008086,               0.008086
                     60,                0.93732,                0.65176,                 1.1339,                0.93459,                0.96389,                0.96996,                0.74294,                0.88882,                0.40526,                 1.2797,               0.008053,               0.008053,               0.008053
                     61,                0.92756,                0.64465,                 1.1294,                0.92688,                0.95265,                0.96725,                0.74379,                0.87568,                0.40295,                 1.2689,                0.00802,                0.00802,                0.00802
                     62,                0.93422,                0.65304,                 1.1329,                0.92346,                0.96043,                0.96992,                0.74768,                0.86261,                0.39476,                 1.2563,               0.007987,               0.007987,               0.007987
                     63,                 0.9232,                0.63323,                 1.1282,                0.92092,                0.95888,                0.96779,                0.74396,                0.87492,                0.39774,                  1.269,               0.007954,               0.007954,               0.007954
                     64,                0.92803,                0.63907,                 1.1246,                0.91447,                0.95276,                0.96399,                 0.7397,                0.87356,                0.40465,                 1.2688,               0.007921,               0.007921,               0.007921
                     65,                0.93212,                0.63784,                 1.1272,                0.92921,                0.95439,                0.96901,                0.74331,                0.87454,                0.39557,                 1.2643,               0.007888,               0.007888,               0.007888
                     66,                0.92598,                0.64099,                 1.1313,                0.92205,                0.96304,                0.97275,                0.74546,                0.87167,                0.39915,                  1.264,               0.007855,               0.007855,               0.007855
                     67,                0.92349,                0.63535,                 1.1321,                 0.9259,                0.96065,                0.96747,                0.74334,                0.87026,                0.39611,                 1.2657,               0.007822,               0.007822,               0.007822
                     68,                0.92029,                0.63703,                 1.1274,                0.91911,                0.96629,                0.96976,                0.74314,                0.87537,                0.39898,                 1.2683,               0.007789,               0.007789,               0.007789
                     69,                0.92182,                0.62359,                 1.1264,                0.91834,                0.97004,                0.97072,                0.74964,                  0.861,                 0.3926,                 1.2546,               0.007756,               0.007756,               0.007756
                     70,                0.91872,                 0.6316,                 1.1256,                0.90434,                0.95888,                0.96715,                0.74749,                0.86244,                0.39563,                   1.26,               0.007723,               0.007723,               0.007723
                     71,                0.91351,                0.62358,                  1.121,                0.92182,                0.95716,                 0.9716,                0.74356,                0.87258,                 0.3938,                 1.2652,                0.00769,                0.00769,                0.00769
                     72,                0.91342,                0.61966,                 1.1171,                0.92197,                0.94692,                 0.9681,                0.74538,                0.85685,                0.39056,                 1.2526,               0.007657,               0.007657,               0.007657
                     73,                0.90931,                0.61905,                 1.1248,                0.92888,                0.95226,                0.97223,                0.74691,                0.86714,                0.39336,                 1.2569,               0.007624,               0.007624,               0.007624
                     74,                0.90655,                0.61548,                 1.1209,                0.91151,                0.95924,                0.96855,                0.74821,                0.86246,                0.39258,                 1.2544,               0.007591,               0.007591,               0.007591
                     75,                0.90898,                0.61758,                  1.118,                 0.9298,                 0.9519,                0.97272,                0.75039,                 0.8694,                 0.3841,                  1.263,               0.007558,               0.007558,               0.007558
                     76,                0.90714,                0.61154,                 1.1115,                0.93228,                0.95172,                0.97053,                0.74772,                0.86082,                0.38431,                 1.2539,               0.007525,               0.007525,               0.007525
                     77,                0.90581,                0.61098,                 1.1159,                0.91456,                0.95815,                0.97181,                0.75224,                0.85145,                0.38867,                  1.246,               0.007492,               0.007492,               0.007492
                     78,                0.90475,                0.61967,                  1.119,                0.91547,                0.95949,                0.97316,                0.75059,                0.85705,                0.38409,                 1.2489,               0.007459,               0.007459,               0.007459
                     79,                0.90165,                 0.6034,                 1.1115,                0.91596,                0.96932,                0.97395,                0.75658,                0.85065,                0.38287,                 1.2451,               0.007426,               0.007426,               0.007426
                     80,                0.89801,                0.60542,                 1.1106,                 0.9247,                0.95594,                0.97107,                0.74773,                 0.8527,                0.37811,                 1.2464,               0.007393,               0.007393,               0.007393
                     81,                 0.8934,                0.60483,                 1.1085,                0.92616,                0.95943,                0.97126,                 0.7507,                0.86313,                0.38255,                  1.254,                0.00736,                0.00736,                0.00736
                     82,                0.89771,                0.60739,                 1.1097,                0.93206,                0.96095,                 0.9715,                0.75577,                0.84979,                0.37618,                 1.2404,               0.007327,               0.007327,               0.007327
                     83,                0.89072,                0.59713,                 1.1097,                0.92573,                0.96835,                0.97562,                0.75762,                0.85258,                0.37307,                 1.2466,               0.007294,               0.007294,               0.007294
                     84,                0.89327,                0.59619,                 1.1079,                0.93519,                0.95096,                 0.9748,                0.75519,                0.86017,                0.37741,                  1.253,               0.007261,               0.007261,               0.007261
                     85,                0.89706,                0.60206,                    1.1,                0.93966,                 0.9441,                0.97305,                0.75188,                0.85832,                0.38238,                 1.2506,               0.007228,               0.007228,               0.007228
                     86,                0.89401,                0.59991,                 1.1054,                0.92009,                0.96886,                0.97547,                0.75475,                0.85627,                0.37818,                 1.2504,               0.007195,               0.007195,               0.007195
                     87,                0.88937,                0.59103,                 1.1075,                 0.9487,                0.94678,                0.97683,                0.76303,                0.84563,                0.37393,                 1.2396,               0.007162,               0.007162,               0.007162
                     88,                0.88558,                0.58995,                 1.0996,                0.94087,                0.95505,                0.97508,                0.76041,                0.84411,                0.37383,                 1.2403,               0.007129,               0.007129,               0.007129
                     89,                0.88855,                0.59454,                 1.1069,                0.93935,                0.95232,                0.97342,                0.75736,                0.84235,                0.36872,                   1.24,               0.007096,               0.007096,               0.007096
                     90,                0.88773,                0.59805,                 1.1014,                 0.9454,                0.95131,                0.97817,                0.76186,                0.84529,                0.36514,                  1.242,               0.007063,               0.007063,               0.007063
                     91,                0.88906,                  0.592,                 1.1049,                0.94445,                0.94214,                0.97383,                0.75522,                0.84555,                0.36965,                 1.2389,                0.00703,                0.00703,                0.00703
                     92,                0.88002,                  0.583,                 1.0972,                0.94367,                0.95483,                0.97525,                0.75853,                0.84316,                0.36752,                 1.2413,               0.006997,               0.006997,               0.006997
                     93,                0.87875,                0.58293,                 1.0959,                0.93934,                0.94717,                0.97532,                0.76242,                0.84425,                   0.37,                 1.2369,               0.006964,               0.006964,               0.006964
                     94,                0.87811,                0.58112,                 1.0993,                0.92283,                0.96334,                0.97584,                0.75808,                0.84444,                0.36649,                 1.2415,               0.006931,               0.006931,               0.006931
                     95,                0.87597,                0.57686,                  1.105,                0.95008,                0.95668,                0.98022,                0.76668,                0.83536,                0.36113,                 1.2297,               0.006898,               0.006898,               0.006898
                     96,                0.87783,                 0.5797,                 1.0972,                0.94968,                0.95298,                0.97755,                0.76212,                0.84102,                0.36343,                 1.2342,               0.006865,               0.006865,               0.006865
                     97,                0.87382,                0.58029,                  1.097,                0.93985,                0.95745,                0.97708,                0.76093,                0.84183,                0.36704,                 1.2344,               0.006832,               0.006832,               0.006832
                     98,                0.87165,                0.57544,                 1.0946,                0.93401,                 0.9597,                0.97622,                0.75967,                0.84326,                 0.3673,                 1.2377,               0.006799,               0.006799,               0.006799
                     99,                0.86948,                0.58093,                 1.0917,                0.93702,                0.96878,                0.97881,                0.76632,                0.83473,                0.36172,                 1.2307,               0.006766,               0.006766,               0.006766
                    100,                0.87334,                0.58078,                 1.0966,                0.93147,                0.96944,                0.97983,                0.76781,                0.83645,                0.36197,                 1.2317,               0.006733,               0.006733,               0.006733
                    101,                0.86341,                0.56552,                 1.0864,                0.92892,                0.96327,                0.97721,                0.76292,                0.83979,                0.36499,                 1.2297,                 0.0067,                 0.0067,                 0.0067
                    102,                0.87263,                0.57171,                 1.0955,                0.95223,                0.94644,                0.97895,                0.77149,                 0.8368,                0.35879,                 1.2308,               0.006667,               0.006667,               0.006667
                    103,                0.86009,                0.56208,                 1.0872,                 0.9441,                0.95442,                0.97681,                0.76551,                0.83548,                0.35871,                 1.2289,               0.006634,               0.006634,               0.006634
                    104,                0.86145,                0.57006,                  1.084,                0.92459,                0.96968,                0.97758,                0.76848,                0.82842,                0.35666,                 1.2252,               0.006601,               0.006601,               0.006601
                    105,                0.86566,                0.56858,                 1.0951,                 0.9368,                0.96234,                0.97878,                0.76915,                0.82901,                0.35654,                 1.2217,               0.006568,               0.006568,               0.006568
                    106,                0.86335,                0.56648,                 1.0966,                0.93136,                0.97347,                0.97515,                0.76472,                0.82822,                0.36129,                 1.2269,               0.006535,               0.006535,               0.006535
                    107,                0.85936,                0.56355,                 1.0838,                0.94398,                0.95132,                0.97473,                0.76807,                 0.8302,                0.35738,                 1.2276,               0.006502,               0.006502,               0.006502
                    108,                 0.8633,                0.56434,                 1.0943,                0.93461,                0.96389,                0.97847,                0.77071,                0.82541,                 0.3513,                 1.2222,               0.006469,               0.006469,               0.006469
                    109,                0.85212,                0.55846,                 1.0847,                0.93888,                0.96385,                0.97626,                0.76469,                0.83465,                0.35871,                 1.2322,               0.006436,               0.006436,               0.006436
                    110,                0.85471,                0.55859,                 1.0838,                0.92838,                0.97633,                0.97693,                0.76576,                0.84073,                0.35974,                 1.2384,               0.006403,               0.006403,               0.006403
                    111,                0.85703,                0.56091,                 1.0874,                0.93602,                0.97562,                 0.9786,                0.77011,                 0.8286,                0.35417,                 1.2281,                0.00637,                0.00637,                0.00637
                    112,                 0.8555,                0.55857,                 1.0833,                0.92553,                0.98268,                0.97796,                0.76951,                0.83182,                0.35104,                 1.2301,               0.006337,               0.006337,               0.006337
                    113,                0.85158,                0.55599,                 1.0781,                0.92846,                0.97264,                0.97678,                0.76622,                0.82989,                0.35344,                 1.2277,               0.006304,               0.006304,               0.006304
                    114,                0.84834,                0.55553,                 1.0785,                0.93582,                0.95987,                  0.974,                0.76403,                0.82472,                0.35538,                 1.2246,               0.006271,               0.006271,               0.006271
                    115,                  0.851,                0.55211,                 1.0835,                0.94072,                0.96066,                0.97843,                0.76986,                 0.8283,                0.35262,                 1.2263,               0.006238,               0.006238,               0.006238
                    116,                0.84431,                0.54459,                 1.0763,                0.92995,                0.97931,                0.97801,                0.76774,                0.82981,                0.35436,                  1.226,               0.006205,               0.006205,               0.006205
                    117,                0.84569,                0.54962,                 1.0809,                0.92232,                0.97559,                0.97528,                0.76754,                0.82826,                0.35341,                  1.226,               0.006172,               0.006172,               0.006172
                    118,                0.84365,                0.54644,                 1.0767,                 0.9391,                0.96052,                0.97335,                0.76511,                0.82529,                0.35039,                 1.2246,               0.006139,               0.006139,               0.006139
                    119,                0.84486,                0.55229,                 1.0772,                0.94817,                0.95927,                0.97719,                0.76999,                0.82466,                0.34924,                 1.2217,               0.006106,               0.006106,               0.006106
                    120,                0.84047,                0.54957,                 1.0782,                0.93542,                0.96664,                0.97625,                0.76758,                0.82449,                0.35301,                 1.2236,               0.006073,               0.006073,               0.006073
                    121,                0.84073,                0.54562,                 1.0735,                0.94114,                0.96915,                0.97669,                0.76826,                0.82284,                0.34987,                 1.2196,                0.00604,                0.00604,                0.00604
                    122,                 0.8355,                0.54425,                 1.0726,                0.94014,                 0.9661,                 0.9758,                 0.7696,                0.82033,                 0.3488,                 1.2188,               0.006007,               0.006007,               0.006007
                    123,                0.84263,                0.55574,                 1.0837,                0.94085,                 0.9641,                0.97705,                 0.7678,                0.81647,                0.34995,                 1.2147,               0.005974,               0.005974,               0.005974
                    124,                0.83661,                0.54231,                 1.0722,                0.93073,                0.97242,                0.97693,                0.76739,                0.81997,                 0.3494,                 1.2203,               0.005941,               0.005941,               0.005941
                    125,                0.83739,                0.54175,                 1.0714,                0.93651,                0.97238,                0.97938,                0.77635,                0.81876,                0.34357,                 1.2209,               0.005908,               0.005908,               0.005908
                    126,                0.83713,                0.53959,                 1.0752,                0.93534,                0.96779,                0.97833,                0.76758,                0.82569,                0.34706,                 1.2236,               0.005875,               0.005875,               0.005875
                    127,                0.83528,                0.54218,                 1.0746,                0.94387,                0.96606,                0.98006,                0.77171,                0.82428,                0.34586,                 1.2223,               0.005842,               0.005842,               0.005842
